university_id,major_name_en,major_name_cn,degree_level,is_active,notes
14,Bachelor of Arts,文学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts
14,Bachelor of Arts (Acting),文学学士（表演）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-acting
14,Bachelor of Arts (Arts and Cultural Management),文学学士（艺术与文化管理）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-arts-and-cultural-management
14,Bachelor of Arts (Dance),文学学士（舞蹈）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-dance
14,Bachelor of Arts (Music Theatre),文学学士（音乐剧）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-music-theatre
14,Bachelor of Aviation,航空学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-aviation
14,Bachelor of Biomedical Science,生物医学科学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-biomedical-science
14,Bachelor of Biomedical Science (Bioscience),生物医学科学学士（生物科学）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-biomedical-science-bioscience
14,Bachelor of Business Analytics,商业分析学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-business-analytics
14,Bachelor of Commerce,商学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-commerce
14,Bachelor of Commerce/Bachelor of Psychology,商学学士与心理学学士双学士学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-commerce-bachelor-of-psychology
14,Bachelor of Communication,传播学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-communication
14,Bachelor of Community and Human Services,社区与人类服务学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-community-and-human-services
14,Bachelor of Computer Science,计算机科学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-computer-science
14,Bachelor of Counselling,咨询学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-counselling
14,Bachelor of Counter Terrorism Security and Intelligence,反恐安全与情报学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-counter-terrorism-security-and-intelligence
14,Bachelor of Creative Writing,创意写作学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-creative-writing
14,Bachelor of Creative and Performing Arts Honours,创意与表演艺术（荣誉）学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-creative-and-performing-arts-honours
14,Bachelor of Criminology and Justice,犯罪学与司法学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-criminology-and-justice
14,Bachelor of Design,设计学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-design
14,Bachelor of Education (Early Childhood Studies),教育学士（幼儿教育研究）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-education-early-childhood-studies
14,Bachelor of Education (Primary),教育学士（小学）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-education-primary
14,"Bachelor of Education (Primary, 1-10)",教育学士（小学（1-10年级））,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-education-primary-1-10
14,Bachelor of Education (Secondary),教育学士（中学）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-education-secondary
14,Bachelor of Engineering (Chemical) Honours,工程（荣誉）学士（化学工程）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-chemical-honours
14,Bachelor of Engineering (Civil and Environmental) Honours,工程（荣誉）学士（土木与环境工程）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-civil-and-environmental-honours
14,Bachelor of Engineering (Civil) Honours,工程（荣誉）学士（土木工程）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-civil-honours
14,Bachelor of Engineering (Computer Systems) Honours,工程（荣誉）学士（计算机系统）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-computer-systems-honours
14,Bachelor of Engineering (Computer Systems) Honours/Bachelor of Computer Science,工程（荣誉）学士（计算机系统）与计算机科学学士双学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-computer-systems-honours-bachelor-of-computer-science
14,Bachelor of Engineering (Electrical Power) Honours,工程（荣誉）学士（电力工程）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-electrical-power-honours
14,Bachelor of Engineering (Electrical and Renewable Energy) Honours,工程（荣誉）学士（电气与可再生能源）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-electrical-and-renewable-energy-honours
14,Bachelor of Engineering (Electronics and Communications) Honours,工程（荣誉）学士（电子与通信）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-electronics-and-communications-honours
14,Bachelor of Engineering (Energy) Honours,工程（荣誉）学士（能源）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-energy-honours
14,Bachelor of Engineering (Instrumentation Control and Automation) Honours,工程（荣誉）学士（仪器仪表、控制与自动化）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-instrumentation-control-and-automation-honours
14,Bachelor of Engineering (Mechanical) Honours,工程（荣誉）学士（机械工程）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-mechanical-honours
14,Bachelor of Engineering (Mechatronics) Honours,工程（荣誉）学士（机电一体化）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-mechatronics-honours
14,Bachelor of Engineering (Mechatronics) Honours/Bachelor of Technology (Motorsports),工程（荣誉）学士（机电一体化）与技术学士（赛车运动）双学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-mechatronics-honours-bachelor-of-technology-motorsports
14,Bachelor of Engineering (Robotics and Autonomous Systems) Honours,工程（荣誉）学士（机器人与自主系统）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-robotics-and-autonomous-systems-honours
14,Bachelor of Engineering Honours/Bachelor of Commerce,工程（荣誉）学士与商学学士双学士学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-honours-bachelor-of-commerce
14,Bachelor of Engineering Honours/Bachelor of Science,工程（荣誉）学士与理学学士双学士学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-engineering-honours-bachelor-of-science
14,Bachelor of Environmental Science,环境科学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-environmental-science
14,Bachelor of Global Media and Communication,全球媒体与传播学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-global-media-and-communication
14,Bachelor of Global Sport Business Management,全球体育商业管理学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-global-sport-business-management
14,Bachelor of Global Sport Business Management (International),全球体育商业管理学士（国际）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-global-sport-business-management-international
14,Bachelor of Health Science,健康科学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-health-science
14,Bachelor of Hospitality and Tourism Management,酒店与旅游管理学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-hospitality-and-tourism-management
14,Bachelor of Information Technology,信息技术学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-information-technology
14,Bachelor of Journalism and Broadcast Media,新闻与广播媒体学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-journalism-and-broadcast-media
14,Bachelor of Laws,法学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws
14,Bachelor of Laws (Graduate Entry),法学学士（研究生入学路径）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-graduate-entry
14,Bachelor of Laws Honours,法学（荣誉）学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-honours
14,Bachelor of Laws/Bachelor of Commerce,法学学士与商学学士双学士学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-bachelor-of-commerce
14,Bachelor of Laws/Bachelor of Criminology and Justice,法学学士与犯罪学与司法学士双学士学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-bachelor-of-criminology-and-justice
14,Bachelor of Laws/Bachelor of Psychology,法学学士与心理学学士双学士学位,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-laws-bachelor-of-psychology
14,Bachelor of Maritime Engineering (Specialisation) (Honours),海事工程（荣誉）学士（专业方向）,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-maritime-engineering-specialisation-honours
14,"Bachelor of Marketing, Advertising and Public Relations",市场营销、广告与公共关系学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-marketing-advertising-and-public-relations
14,Bachelor of Music,音乐学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-music
14,Bachelor of Music Honours,音乐（荣誉）学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-music-honours
14,Bachelor of Performing Arts,表演艺术学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-performing-arts
14,Bachelor of Preclinical Foundations of Imaging Science,临床前基础影像学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-preclinical-foundations-of-imaging-science
14,Bachelor of Psychological Science,心理科学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-psychological-science
14,Bachelor of Psychology,心理学学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-psychology
14,Bachelor of Psychology (Honours),心理学（荣誉）学士,bachelor,1,https://www.ecu.edu.au/degrees/courses/bachelor-of-psychology-honours
